parliament_id;parliament_label;parliament_period_id;parliament_period_label;mandate_id;mandate_label;politician_id;first_name;last_name;full_name;academic_title;sex;year_of_birth;party_id;party_name;party_short_name;faction;electoral_district_id;electoral_district_label;electoral_list;list_position;mandate_type;info;start_date;end_date;active_now;politician_url;mandate_api_path;politician_api_path;abgeordnetenwatch_url;wikidata_id
5;Bundestag;161;Bundestag 2025 - 2029;68713;Jan-Marco Luczak (Bundestag 2025 - 2029);79147;Jan-Marco;Luczak;Jan-Marco Luczak;Dr.;m;1975;2;CDU;CDU;CDU/CSU (Bundestag 2025 - 2029);13986;80 - Berlin-Tempelhof-Schöneberg (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);1;list;;;;True;https://www.abgeordnetenwatch.de/profile/jan-marco-luczak;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68713;https://www.abgeordnetenwatch.de/api/v2/politicians/79147;https://www.abgeordnetenwatch.de/profile/jan-marco-luczak;Q96427
5;Bundestag;161;Bundestag 2025 - 2029;68674;Lukas Krieger (Bundestag 2025 - 2029);122755;Lukas;Krieger;Lukas Krieger;;m;1987;2;CDU;CDU;CDU/CSU (Bundestag 2025 - 2029);13985;79 - Berlin-Charlottenburg-Wilmersdorf (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);6;constituency;;;;True;https://www.abgeordnetenwatch.de/profile/lukas-krieger;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68674;https://www.abgeordnetenwatch.de/api/v2/politicians/122755;https://www.abgeordnetenwatch.de/profile/lukas-krieger;Q132733191
5;Bundestag;161;Bundestag 2025 - 2029;68667;Ferat Koçak (Bundestag 2025 - 2029);122834;Ferat;Koçak;Ferat Koçak;;m;1979;8;Die Linke;Die Linke;Die Linke (Bundestag 2025 - 2029);13987;81 - Berlin-Neukölln (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);6;constituency;;;;True;https://www.abgeordnetenwatch.de/profile/ferat-kocak;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68667;https://www.abgeordnetenwatch.de/api/v2/politicians/122834;https://www.abgeordnetenwatch.de/profile/ferat-kocak;Q109908415
5;Bundestag;161;Bundestag 2025 - 2029;68652;Annika Klose (Bundestag 2025 - 2029);175401;Annika;Klose;Annika Klose;;f;1992;1;SPD;SPD;SPD (Bundestag 2025 - 2029);13980;74 - Berlin-Mitte (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);2;list;;;;True;https://www.abgeordnetenwatch.de/profile/annika-klose;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68652;https://www.abgeordnetenwatch.de/api/v2/politicians/175401;https://www.abgeordnetenwatch.de/profile/annika-klose;Q108714556
5;Bundestag;161;Bundestag 2025 - 2029;68649;Ottilie Klein (Bundestag 2025 - 2029);175877;Ottilie;Klein;Ottilie Klein;Dr.;f;1984;2;CDU;CDU;CDU/CSU (Bundestag 2025 - 2029);13987;81 - Berlin-Neukölln (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);2;list;;;;True;https://www.abgeordnetenwatch.de/profile/ottilie-klein;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68649;https://www.abgeordnetenwatch.de/api/v2/politicians/175877;https://www.abgeordnetenwatch.de/profile/ottilie-klein;Q108711880
5;Bundestag;161;Bundestag 2025 - 2029;68648;Helmut Kleebank (Bundestag 2025 - 2029);175433;Helmut;Kleebank;Helmut Kleebank;;m;1964;1;SPD;SPD;SPD (Bundestag 2025 - 2029);13983;77 - Berlin-Spandau – Charlottenburg Nord (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);5;constituency;;;;True;https://www.abgeordnetenwatch.de/profile/helmut-kleebank;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68648;https://www.abgeordnetenwatch.de/api/v2/politicians/175433;https://www.abgeordnetenwatch.de/profile/helmut-kleebank;Q1603762
5;Bundestag;161;Bundestag 2025 - 2029;68599;Moritz Heuberger (Bundestag 2025 - 2029);183031;Moritz;Heuberger;Moritz Heuberger;Dr.;m;1991;5;BÜNDNIS 90/­DIE GRÜNEN;BÜNDNIS 90/­DIE GRÜNEN;BÜNDNIS 90/­DIE GRÜNEN (Bundestag 2025 - 2029);13986;80 - Berlin-Tempelhof-Schöneberg (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);8;constituency;;;;True;https://www.abgeordnetenwatch.de/profile/moritz-heuberger;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68599;https://www.abgeordnetenwatch.de/api/v2/politicians/183031;https://www.abgeordnetenwatch.de/profile/moritz-heuberger;Q23060752
5;Bundestag;161;Bundestag 2025 - 2029;68562;Gregor Gysi (Bundestag 2025 - 2029);79334;Gregor;Gysi;Gregor Gysi;;m;1948;8;Die Linke;Die Linke;Die Linke (Bundestag 2025 - 2029);13989;83 - Berlin-Treptow-Köpenick (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);1;constituency;;;;True;https://www.abgeordnetenwatch.de/profile/gregor-gysi;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68562;https://www.abgeordnetenwatch.de/api/v2/politicians/79334;https://www.abgeordnetenwatch.de/profile/gregor-gysi;Q65126
5;Bundestag;161;Bundestag 2025 - 2029;68553;Adrian Grasse (Bundestag 2025 - 2029);123289;Adrian;Grasse;Adrian Grasse;;m;1975;2;CDU;CDU;CDU/CSU (Bundestag 2025 - 2029);13984;78 - Berlin-Steglitz-Zehlendorf (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);3;constituency;;;;True;https://www.abgeordnetenwatch.de/profile/adrian-grasse;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68553;https://www.abgeordnetenwatch.de/api/v2/politicians/123289;https://www.abgeordnetenwatch.de/profile/adrian-grasse;Q27065428
5;Bundestag;161;Bundestag 2025 - 2029;68546;Ronald Gläser (Bundestag 2025 - 2029);123018;Ronald;Gläser;Ronald Gläser;;m;1973;9;AfD;AfD;AfD (Bundestag 2025 - 2029);13981;75 - Berlin-Pankow (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);3;list;;;;True;https://www.abgeordnetenwatch.de/profile/ronald-glaeser;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68546;https://www.abgeordnetenwatch.de/api/v2/politicians/123018;https://www.abgeordnetenwatch.de/profile/ronald-glaeser;Q26933281
5;Bundestag;161;Bundestag 2025 - 2029;68542;Katalin Gennburg (Bundestag 2025 - 2029);122857;Katalin;Gennburg;Katalin Gennburg;;f;;8;Die Linke;Die Linke;Die Linke (Bundestag 2025 - 2029);13990;84 - Berlin-Marzahn-Hellersdorf (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);3;list;;;;True;https://www.abgeordnetenwatch.de/profile/katalin-gennburg;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68542;https://www.abgeordnetenwatch.de/api/v2/politicians/122857;https://www.abgeordnetenwatch.de/profile/katalin-gennburg;Q27058203
5;Bundestag;161;Bundestag 2025 - 2029;68477;Hakan Demir (Bundestag 2025 - 2029);175431;Hakan;Demir;Hakan Demir;;m;1984;1;SPD;SPD;SPD (Bundestag 2025 - 2029);13987;81 - Berlin-Neukölln (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);3;list;;;;True;https://www.abgeordnetenwatch.de/profile/hakan-demir;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68477;https://www.abgeordnetenwatch.de/api/v2/politicians/175431;https://www.abgeordnetenwatch.de/profile/hakan-demir;Q108708881
5;Bundestag;161;Bundestag 2025 - 2029;68474;Gottfried Curio (Bundestag 2025 - 2029);141110;Gottfried;Curio;Gottfried Curio;;m;1960;9;AfD;AfD;AfD (Bundestag 2025 - 2029);13990;84 - Berlin-Marzahn-Hellersdorf (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);2;constituency;;;;True;https://www.abgeordnetenwatch.de/profile/gottfried-curio;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68474;https://www.abgeordnetenwatch.de/api/v2/politicians/141110;https://www.abgeordnetenwatch.de/profile/gottfried-curio;Q27917019
5;Bundestag;161;Bundestag 2025 - 2029;68394;Andreas Audretsch (Bundestag 2025 - 2029);175526;Andreas;Audretsch;Andreas Audretsch;;m;1984;5;BÜNDNIS 90/­DIE GRÜNEN;BÜNDNIS 90/­DIE GRÜNEN;BÜNDNIS 90/­DIE GRÜNEN (Bundestag 2025 - 2029);13987;81 - Berlin-Neukölln (Bundestag 2025 - 2029);Landesliste Berlin (Bundestag 2025 - 2029);2;list;;;;True;https://www.abgeordnetenwatch.de/profile/andreas-audretsch;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/68394;https://www.abgeordnetenwatch.de/api/v2/politicians/175526;https://www.abgeordnetenwatch.de/profile/andreas-audretsch;Q108736132
